RunID,Dataset,block_attrs,Precision,Recall,F1,Runtime_s
1,100_corr_25,2,0.555556,1.0,0.714286,0.13
2,100_corr_25,4,1.0,0.916667,0.956522,0.84
3,100_corr_25,"2,4",0.647059,1.0,0.785714,0.12
4,100_corr_50,2,0.722222,1.0,0.83871,0.12
5,100_corr_50,4,1.0,0.769231,0.869565,0.85
6,100_corr_50,"2,4",0.666667,1.0,0.8,0.12
7,100_non_corr,2,0.7,1.0,0.823529,0.12
8,100_non_corr,4,1.0,1.0,1.0,0.93
9,100_non_corr,"2,4",0.823529,1.0,0.903226,0.17
10,500_corr_25,2,0.95,0.987013,0.968153,0.9
11,500_corr_25,4,0.982143,0.833333,0.901639,23.31
12,500_corr_25,"2,4",0.987179,0.987179,0.987179,0.64
13,500_corr_50,2,0.970149,0.984848,0.977444,0.62
14,500_corr_50,4,0.967213,0.819444,0.887218,20.35
15,500_corr_50,"2,4",0.987179,0.987179,0.987179,0.65
16,500_non_corr,2,0.973333,1.0,0.986486,0.67
17,500_non_corr,4,0.969388,0.989583,0.979381,19.91
18,500_non_corr,"2,4",0.973333,1.0,0.986486,0.64
